File ref,Source,Authors,Title,Exclusion reason,Cites,Year,Source,Publisher,CitesPerYear
1,GS,"R Tsuchiya, K Nishikawa, H Washizaki…",Recovering transitive traceability links among various software artifacts for developers,,4,2019,… on Information and …,search.ieice.org,0.8
2,GS,"I Rubasinghe, D Meedeniya…",Automated inter-artefact traceability establishment for DevOps practice,,18,2018,2018 IEEE/ACIS 17th …,ieeexplore.ieee.org,3
3,GS,"RM Parizi, SP Lee, M Dabbagh",Achievements and challenges in state-of-the-art software traceability between test and code artifacts,,62,2014,IEEE Transactions on …,ieeexplore.ieee.org,6.2
4,GS,"S Palihawadana, CH Wijeweera…",Tool support for traceability management of software artefacts with DevOps practices,,32,2017,2017 Moratuwa …,ieeexplore.ieee.org,4.57
5,GS,"S Maro, JP Steghöfer, M Staron",Software traceability in the automotive domain: Challenges and solutions,,68,2018,Journal of Systems and Software,Elsevier,11.33
6,GS,"HA Çetin, E Tüzün",Analyzing developer contributions using artifact traceability graphs,,3,2022,Empirical Software Engineering,Springer,1.5
7,GS,"E Sülün, E Tüzün, U Doğrusöz",Rstrace+: Reviewer suggestion using software artifact traceability graphs,,26,2021,Information and Software Technology,Elsevier,8.67
8,GS,"H Wang, G Shen, Z Huang, Y Yu, K Chen",Analyzing close relations between target artifacts for improving IR-based requirement traceability recovery,,6,2021,Frontiers of Information …,Springer,2
9,GS,"I Rubasinghe, D Meedeniya, I Perera",Tool support for software artefact traceability in DevOps practice: SAT-Analyser,,7,2020,Tools and Techniques for …,igi-global.com,1.75
10,GS,"I Perera, D Meedeniya…",A traceability management framework for artefacts in self-adaptive systems,,4,2015,2015 IEEE 10th …,ieeexplore.ieee.org,0.44
11,GS,"D Falessi, M Di Penta, G Canfora…",Estimating the number of remaining links in traceability recovery,,50,2017,Empirical Software …,Springer,7.14
12,GS,"DA Meedeniya, ID Rubasinghe…",Software artefacts consistency management towards continuous integration: a roadmap,,20,2019,International Journal of …,researchgate.net,4
13,GS,"P Rempel, P Mäder, T Kuschke…",Mind the gap: assessing the conformance of software traceability to relevant guidelines,,93,2014,Proceedings of the 36th …,dl.acm.org,9.3
14,GS,"I Rubasinghe, D Meedeniya…",Traceability management with impact analysis in DevOps based software development,,16,2018,… Conference on Advances …,ieeexplore.ieee.org,2.67
15,GS,"J Guo, J Cheng…",Semantically enhanced software traceability using deep learning techniques,,305,2017,2017 IEEE/ACM 39th …,ieeexplore.ieee.org,43.57
16,GS,"D Fucci, E Alégroth, T Axelsson",When traceability goes awry: an industrial experience report,,2,2022,Journal of Systems and Software,Elsevier,1
17,GS,"M Rahimi, J Cleland-Huang",Evolving software trace links between requirements and source code,,45,2018,Empirical Software Engineering,Springer,7.5
18,GS,"K Moran, DN Palacio, C Bernal-Cárdenas…",Improving the effectiveness of traceability link recovery using hierarchical bayesian networks,,32,2020,Proceedings of the …,dl.acm.org,8
19,GS,"P Hübner, B Paech",Interaction-based creation and maintenance of continuously usable trace links between requirements and source code,,14,2020,Empirical Software Engineering,Springer,3.5
20,GS,"R Lapeña, F Pérez, Ó Pastor, C Cetina",Leveraging execution traces to enhance traceability links recovery in BPMN models,,0,2022,Information and Software …,Elsevier,0
21,GS,"X Chen, J Hosking, J Grundy, R Amor",DCTracVis: a system retrieving and visualizing traceability links between source code and documentation,,9,2018,Automated Software Engineering,Springer,1.5
